State,life_expectancy,State_abbr,life_expectancy_norm,poverty_rate_2023,poverty_norm,mental_health_norm,mental_health_index,State_edu,education_index_raw,education_index_norm,State_unemp,unemployment_rate_avg,unemployment_norm,State_inc,median_income,income_norm,predictor_index,Percentile_Class
Nebraska,79.2,NE,73.84615384615381,11.111702127659575,80.56453611260541,76.44067166669754,36.00714285714286,NE,55.13003014785698,8.154057107619593,NE,2.1099290780141846,100.0,NE,63638.12765957447,30.38293826607003,60.212367484690475,Tier_4
New Hampshire,79.4,NH,76.92307692307693,8.545454545454545,100.0,57.47384622229284,37.478571428571435,NH,56.656559484928856,9.187798031424567,NH,2.6545454545454543,90.32752145572822,NH,81480.81818181818,64.64091727667346,67.23931578146357,Tier_5
New Jersey,80.1,NJ,87.69230769230751,9.527272727272727,92.56420465857057,68.22279464403627,35.535714285714285,NJ,55.12756118624781,8.152385166836853,NJ,5.177272727272727,45.52346034042172,NJ,96558.22727272728,93.58955389213908,65.75151074041707,Tier_5
New Mexico,76.9,NM,38.46153846153847,19.432352941176468,17.548126656595375,50.79962010669373,38.65,NM,50.757002600930015,5.192713734516751,NM,5.2666666666666675,43.93580892552495,NM,53559.73529411765,11.032417463951177,25.74007550826793,Tier_1
Nevada,78.0,NV,55.3846153846153,11.894444444444444,74.63644089042259,38.617081518106126,37.31428571428571,NV,51.819726956630994,5.912373442675147,NV,4.218518518518518,62.551096513372705,NV,73048.55555555556,48.45096679234062,48.40800614226899,Tier_3
New York,80.7,NY,96.92307692307688,13.420634920634921,63.077844560524234,57.9621649094074,27.863636363636363,NY,53.577581009966494,7.102763714829999,NY,4.28941798941799,61.291909972851954,NY,72076.44444444444,46.58451273941052,55.26567097552678,Tier_4
Ohio,76.9,OH,38.46153846153847,12.807865168539326,67.71865337052554,41.81089830900367,38.864285714285714,OH,52.8170976143391,6.587776685859986,OH,4.324719101123596,60.6649562853111,OH,65704.13483146067,34.34967356543527,41.57964500421313,Tier_2
Oklahoma,75.7,OK,19.999999999999957,17.544871794871796,31.84295616233701,44.39206369933936,38.707142857142856,OK,50.38801939562138,4.942844288669139,OK,3.4491452991452993,76.21529442883418,OK,54447.97435897436,12.737837125987253,30.533629791908588,Tier_1
Oregon,79.6,OR,79.99999999999983,13.82972972972973,59.97956696493427,39.6424609052394,16.55,OR,53.57005496426497,7.097667198669348,OR,4.573873873873874,56.23992557106925,OR,66547.45945945945,35.9688574754566,47.11040866595437,Tier_2
Pennsylvania,78.3,PA,59.999999999999865,12.547058823529412,69.69386898697365,50.57208362954206,14.9,PA,53.40714749500465,6.9873489010263325,PA,4.641666666666667,55.0359141567946,PA,65786.88235294117,34.50854886793096,45.72940413227208,Tier_2
Rhode Island,79.5,RI,78.46153846153837,10.233333333333333,87.21685800871548,51.82294242761021,37.90714285714286,RI,56.140471793538886,8.838311811994823,RI,3.6222222222222222,73.14141913402106,RI,88710.16666666667,78.52127171904453,64.01652188165806,Tier_5
South Carolina,76.8,SC,36.92307692307679,17.782978723404256,30.0396544688758,55.29328220741646,37.371428571428574,SC,49.87929287551767,4.598342935118452,SC,3.9085106382978725,68.05688866212792,SC,55979.02127659575,15.677448341164402,33.262191351649385,Tier_1
South Dakota,78.4,SD,61.53846153846154,14.22537313432836,56.98316351747137,68.72000707068578,12.825,SD,54.08988731402676,7.449689240051946,SD,2.508457711442786,92.92206437002952,SD,63294.567164179105,29.723301860593278,51.45030619308192,Tier_3
Tennessee,75.6,TN,18.46153846153829,15.717708333333334,45.680969968699536,29.976289067287418,32.04545454545455,TN,49.28839879657224,4.198199042560442,TN,3.959027777777778,67.15969575939242,TN,58032.489583333336,19.62010901016252,30.928846686544894,Tier_1
Texas,78.6,TX,64.61538461538444,15.63921568627451,46.27543365876446,53.04058968978732,28.718181818181815,TX,47.62095447243138,3.0690327735799383,TX,4.52326797385621,57.138694875899944,TX,61045.09019607843,25.404304416684344,40.54966276094669,Tier_2
Utah,79.7,UT,81.53846153846149,9.763333333333332,90.7764007786405,56.54745720031605,38.542857142857144,UT,56.00716254155676,8.748036947340019,UT,3.143333333333333,81.646566431225,UT,78374.06666666667,58.675952067836946,63.574390247938545,Tier_5
Virginia,79.1,VA,72.30769230769212,13.388805970149253,63.31890096600414,54.685011890549134,29.49090909090909,VA,52.271005908659426,6.217972234283333,VA,3.449502487562189,76.2089507024104,VA,70592.45522388059,43.735252337417904,52.5693226351059,Tier_3
Vermont,79.8,VT,83.07692307692295,10.606666666666666,84.38941978012255,53.682206084441326,29.91818181818182,VT,56.95399347259088,9.38921550681126,VT,2.9177777777777782,85.65247107468763,VT,69913.0,42.43069780460638,60.32360550643118,Tier_5
Washington,80.0,WA,86.15384615384608,12.55,69.67159400092906,45.198003213473996,29.6,WA,54.011635827803886,7.396698601947138,WA,5.381666666666666,41.89338956297137,WA,74388.45,51.02356511751908,50.6796536443545,Tier_3
Wisconsin,79.3,WI,75.38461538461524,10.784931506849315,83.03933185883747,60.72054632047269,37.457142857142856,WI,55.405655332855716,8.340706015337961,WI,3.5493150684931503,74.43626245962915,WI,68578.65753424658,39.86875928262448,56.62362693841467,Tier_4
West Virginia,74.5,WV,1.5384615384614508,17.833928571428572,29.65378603661253,30.862084027844585,40.714285714285715,WV,49.37373476127762,4.255987174662467,WV,4.8273809523809526,51.737597173788764,WV,51587.857142857145,7.246409953865461,19.975142525693265,Tier_1
Wyoming,77.7,WY,50.769230769230724,10.637500000000001,84.15590367642179,66.78287478617732,29.018181818181816,WY,56.38022876971208,9.000671350078367,WY,3.4944444444444445,75.41077398130285,WY,71622.70833333333,45.713339070203006,54.26206477096825,Tier_4
