State  v009_rawvalue_norm  v011_rawvalue_norm  v049_rawvalue_norm  v070_rawvalue_norm  v045_rawvalue_norm  v014_rawvalue_norm  v138_rawvalue_norm  v060_rawvalue_norm  v061_rawvalue_norm  v132_rawvalue_norm  v183_rawvalue_norm  v143_rawvalue_norm  v004_rawvalue_norm  v062_rawvalue_norm  v088_rawvalue_norm  v005_rawvalue_norm  v085_rawvalue_norm  v131_rawvalue_norm  v024_rawvalue_norm  v044_rawvalue_norm  v069_rawvalue_norm  v168_rawvalue_norm  v023_rawvalue_norm  v140_rawvalue_norm  v171_rawvalue_norm  v151_rawvalue_norm  v063_rawvalue_norm  v172_rawvalue_norm  v141_rawvalue_norm  v149_rawvalue_norm  v184_rawvalue_norm  v177_rawvalue_norm  v136_rawvalue_norm  v153_rawvalue_norm  v154_rawvalue_norm  v067_rawvalue_norm  v137_rawvalue_norm  v167_rawvalue_norm  v169_rawvalue_norm  v036_rawvalue_norm  v042_rawvalue_norm  v144_rawvalue_norm  v145_rawvalue_norm  v147_rawvalue_norm
   NJ            0.745937            0.728932            0.584986            0.533363            0.824472            0.874176            0.691697            0.640292            0.829013            0.902506            0.766796            0.506416            0.670656            0.732462            0.512188            0.373660            0.678504            0.995539            0.739387            0.586457            0.536842            0.611763            0.217828            0.181738            0.513349            0.416146            0.901519            0.273165            0.284508            0.814470            0.422967            0.769255            0.419502            0.680008            0.267646            0.345806            0.171795            0.327686            0.891856            0.778042            0.808274            0.734851            0.845622            0.943682
   NM            0.404830            0.507648            0.609920            0.465882            0.659435            0.261326            0.500136            0.390601            0.926848            0.419447            0.000000            0.757237            0.720866            0.488045            0.713985            0.741098            0.515279            0.682203            0.165247            0.509534            0.244475            0.313215            0.424035            0.171124            0.492080            0.306393            0.146238            0.440418            0.645337            0.211131            0.580860            0.258884            0.639135            0.850238            0.591686            0.136651            0.611512            0.621061            0.236305            0.387980            0.575385            0.341825            0.566214            0.832092
   NV            0.444421            0.491189            0.460162            0.340302            0.677908            0.501605            0.735143            0.616247            0.834451            0.794472            0.418380            0.398898            0.955101            0.807367            0.764442            0.423544            0.348934            0.814015            0.523124            0.772879            0.115905            0.277752            0.000000            0.036749            0.822041            0.744111            0.427101            0.000000            0.857405            0.185279            0.416741            0.527157            0.455231            0.547955            0.278162            0.192996            0.495239            0.869905            0.248380            0.289243            0.615640            0.299954            0.693291            0.880718
   NY            0.683388            0.675410            0.457248            0.409001            0.661400            0.818120            0.739327            0.562649            0.702328            0.834787                 NaN            0.463601            0.641908            0.628005            0.553561            0.498373            0.819682            0.499938            0.401863            0.646917            0.501685            0.327427            0.279818            0.171674            0.430106            0.257186            0.591626            0.218021            0.000000            0.618292                 NaN            0.330811            0.239843            0.397004            0.060202            0.604640            0.179858            0.229926            0.896774            0.627398            0.674153            0.653357            0.710712            0.951782
   OH            0.247972            0.133250            0.387295            0.406432            0.724238            0.489041            0.507377            0.322344            0.916556            0.622413            0.429023            0.428766            0.709073            0.673531            0.768009            0.355668            0.734409            0.607201            0.453746            0.788739            0.319490            0.704294            0.491952            0.279412            0.564731            0.630366            0.275818            0.316711            0.188764            0.655537            0.723518            0.488712            0.896863            0.779552            0.790790            0.110240            0.551226            0.419578            0.444775            0.431692            0.267253            0.389697            0.305280            0.852117
   OK            0.343038            0.027768            0.835586            0.133348            0.685040            0.138604            0.806174            0.229331            0.929299            0.298648            0.067515            0.580946            0.924152            0.540079            0.781230            0.385624            0.281484            0.758936            0.282506            0.689609            0.125229            0.454491            0.587224            0.290253            0.458612            0.711255            0.151783            0.646097            0.749591            0.421177            0.617489            0.000000            0.842332            0.743637            0.778459            0.071250            0.620571            0.834710            0.308449            0.391229            0.361725            0.324705            0.365267            0.818101
   OR            0.580356            0.594942            0.323316            0.777652            0.816854            0.767296            0.781702            0.675033            0.934576            0.713972                 NaN            0.897863            0.461785            0.062628            0.530404            0.798108            0.716175            0.822970            0.686503            0.736325            0.493739            0.713827            0.434660            0.245156            0.551693            0.462560            0.513348            0.303542            0.317179            0.462644                 NaN            0.869031            0.531106            0.670385            0.419481            0.308774            0.581927            0.900201            0.527767            0.545825            0.359498            0.559335            0.384675            0.919687
   PA            0.399212            0.467800            0.415161            0.585168            0.763443            0.720462            0.567489            0.547674            0.881439            0.672506                 NaN            0.476074            0.658722            0.769609            0.692892            0.366041            0.772649            0.524097            0.573313            0.748123            0.379882            0.732881            0.528245            0.320666            0.463058            0.540691            0.403004            0.238726            0.099776            0.702545                 NaN            0.642128            0.822518            0.849936            0.696509            0.237144            0.343360            0.389014            0.598317            0.602640            0.570554            0.548222            0.630930            0.893926
   RI            0.634387            0.632867            0.403612            0.513185            0.710434            0.857380            0.589557            0.560700            0.943626            0.906461            0.529736            0.625567            0.424606            0.414503            0.787410            0.519179            0.853954            0.588175            0.606112            0.645484            0.470264            0.489620            0.654546            0.245393            0.555837            0.441236            0.572943            0.291804            0.345558            1.000000            0.747922            0.413275            0.653840            0.666663            0.472641            0.151611            0.410620            0.618077            0.714543            0.567610            0.626946            0.576628            0.674898            0.938369
   SC            0.409050            0.346412            0.471474            0.405128            0.523435            0.389121            0.589666            0.403174            0.846866            0.269966            0.586812            0.592122            0.814383            0.866826            0.836506            0.538542            0.490311            0.692007            0.378026            0.561478            0.307230            0.500889            0.667290            0.296334            0.724802            0.467266            0.266065            0.146225            0.950956            0.473716            0.494623            0.425523            0.804004            0.913243            0.694319            0.085011            0.371669            0.846677            0.321157            0.657404            0.566363            0.615676            0.606599            0.838680
