GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "04000","Arizona",6,SAACARTSCOMP,200,"..."," Supporting arts and cultural production ","Thousands of dollars",3170383,3247204,3255045,3261108,3231257,3388084,3500292,3484557,3404942,3334243,3534733,3573062,3563355,3477651,3714377,3687504,3898231,4219331,4370983,4494355,4961626,5094364,5490909
 "04000","Arizona",6,SAACARTSCOMP,211,"...","  Rental and leasing ","Thousands of dollars",26412,31080,24044,25420,26539,32535,30145,31101,26595,21615,17487,14470,15649,14910,16094,19361,23348,24675,29720,26332,31977,34610,36348
 "04000","Arizona",6,SAACARTSCOMP,212,"...","  Grantmaking and giving services ","Thousands of dollars",4151,4394,5453,5313,6163,11250,13732,13578,13520,11217,12273,10221,10507,10482,11656,9666,8893,10121,11552,9565,11891,12280,13314
 "04000","Arizona",6,SAACARTSCOMP,213,"...","  Unions ","Thousands of dollars",6393,6392,6533,6901,6656,7958,7789,7317,7772,7440,9344,10406,8306,6242,5950,4691,4155,4897,5217,4891,5695,5943,7046
 "04000","Arizona",6,SAACARTSCOMP,214,"...","  Government ","Thousands of dollars",1506121,1502706,1467085,1456719,1369970,1353033,1329675,1300287,1393583,1359299,1346155,1334368,1350037,1348866,1377395,1403146,1516383,1596744,1620519,1670485,1748627,1846117,2057466
 "04000","Arizona",6,SAACARTSCOMP,215,"...","  Other support services ","Thousands of dollars",9226,7635,8874,9417,7205,10388,11637,10931,8011,8245,7314,9748,8859,9594,11793,11720,25049,24827,25195,15953,18663,15384,15586
 "04000","Arizona",6,SAACARTSCOMP,221,"...","  Publishing ","Thousands of dollars",306777,300166,321890,314359,322875,340972,349276,315731,275046,251613,254063,260585,250050,255015,297036,285667,272698,308279,384494,444412,579204,658458,741557
 "04000","Arizona",6,SAACARTSCOMP,222,"...","  Motion pictures ","Thousands of dollars",69429,69477,70687,78536,77948,83112,99260,107835,100531,80868,(D),98832,104769,108702,120243,138495,150762,166691,176531,113654,148725,179969,190929
 "04000","Arizona",6,SAACARTSCOMP,223,"...","  Sound recording ","Thousands of dollars",2816,4245,7635,(D),(D),11509,6830,11864,19362,18658,20230,16867,15612,16021,17927,6728,6095,5520,6251,5248,6194,7430,10072
 "04000","Arizona",6,SAACARTSCOMP,224,"...","  Broadcasting ","Thousands of dollars",366970,378723,391163,(D),(D),394228,432883,437318,474691,494305,513935,545274,562409,616970,630438,630715,684425,746075,730038,728655,733254,649376,591366
 "04000","Arizona",6,SAACARTSCOMP,225,"...","  Other information services ","Thousands of dollars",22933,23701,29326,29669,41231,61682,50321,56200,50433,60761,69782,92851,97143,108758,121152,140828,184247,214036,248396,259531,356752,544190,533879
 "04000","Arizona",6,SAACARTSCOMP,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",7860,6560,8145,9766,13069,(D),(D),14110,7495,5422,4894,4844,6434,7259,6611,8845,8335,8038,8450,7302,7186,9509,15723
 "04000","Arizona",6,SAACARTSCOMP,232,"...","  Printed goods manufacturing ","Thousands of dollars",50650,39462,35796,42728,45106,49510,57204,56226,45399,(D),47000,50933,57293,57865,57917,55969,53683,56261,54382,48507,49556,50641,51257
 "04000","Arizona",6,SAACARTSCOMP,233,"...","  Musical instruments manufacturing ","Thousands of dollars",16430,17035,21461,2299,2206,2271,2786,1891,1909,(D),1387,(D),1470,(D),(D),(D),(D),(D),(D),(D),(D),(D),2592
 "04000","Arizona",6,SAACARTSCOMP,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",19282,27093,26104,26094,29098,32267,45769,44918,27602,25453,31643,36826,37730,38864,46737,54978,58161,64512,66257,71167,68033,80009,89339
 "04000","Arizona",6,SAACARTSCOMP,236,"...","  Other goods manufacturing ","Thousands of dollars",13619,13921,13515,10332,10969,(D),(D),12559,8621,10290,(D),(D),12110,(D),(D),(D),(D),(D),(D),(D),(D),(D),30711
