State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v166_rawvalue_norm,v181_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
MT,0.6114261983719614,0.6859223232267984,0.4243351552282957,0.7226264829489297,0.5029071580959218,0.03619490947696191,0.8625826322729503,0.3850890679856446,0.22089171246758954,0.7802389894024161,0.5639826215474681,0.20911817206783367,0.5936338211912613,0.5712579193002587,0.5331359064609453,0.960239284600275,0.0,0.6824601350661572,0.5063157740965021,0.4573411662364997,0.5027330222714345,,,0.4914742023780048,2
NC,0.5257530540159931,0.5676063927430014,0.4413432494236591,0.3732001853983913,0.6157569904845992,0.6770306800535479,0.7144270212994956,0.5055197006632359,0.497807573473238,0.6782593595652864,0.797447143461851,0.3554216808044377,0.63586251207437,0.6016861521981942,0.2783027343988576,0.9389300575218188,0.7511532681222851,0.43732017967906023,0.4844644783355089,0.5155831840238481,0.7798823215268835,,,0.5533071781485256,2
ND,0.717105272783201,0.7589704131633878,0.5927759729337374,0.6976093372083226,0.7847397404408952,0.40858872636639476,0.9340467648564663,0.6063683209808962,0.5769498104520423,0.8082838256871155,1.0,0.0,0.4497023001056557,0.5067682821256976,0.44924635536393714,0.9198411388328434,0.2868346400369295,1.0,0.5407421492112093,0.7797346970729432,0.7335504615575946,,,0.6159935549626941,3
NE,0.8530212795172127,0.8430931439545563,0.6333118887282844,0.5948992172482155,0.9435210888830721,0.612770031067456,0.9116502324576888,0.6781340347525835,0.7083094099292568,0.7383471942693779,0.910391367670796,0.4894495305903068,0.1775015964665818,0.6961670615522734,0.6968516362689013,0.8402661202907307,0.46459798173370837,0.4985317639298855,0.6463776373657201,0.5255760755531961,0.7930449103972695,,,0.6479915092103216,4
NH,0.9137519340982903,0.9359598026781101,0.9243819755819996,0.9904311426295066,0.6651474176997545,0.5217300186417315,1.0,0.8388306919658076,0.7128547750798069,0.8467571119118806,0.2214715765411216,0.248755797732708,0.8734311216731452,0.896212310900985,0.6455757622256825,0.9391297494361754,0.2841571926759454,0.8664288692821756,0.7703834001667098,0.9640303613775126,0.8378997819174394,,,0.722605490646204,5
NJ,0.9202502641779374,0.905320248766936,0.9363894389862587,0.949724745595229,0.9291532844927103,0.9374598301624971,0.8899701913620924,0.944427038275779,0.9527085064012368,0.56733627734049,0.30985958173715156,0.6583708248152343,0.6665306113033866,0.8926200111025361,0.5928557571573698,0.7085094673044781,0.7921026740049298,0.8009766320268641,0.8210725219916082,0.9496338864941019,0.8273988298829096,,,0.7705759374264426,5
NM,0.1290278790288527,0.29143943521531923,0.4876071796935256,0.619407759949788,0.20228045050404242,0.18839161890037026,0.5616702390756751,0.2893980798900181,0.13046532793395405,0.7378954167418867,0.24234046353033922,0.4494503355893017,0.4266846999704248,0.21241596868959797,0.5005000745207413,0.9313871719106857,0.5931321656076007,0.32915711866041286,0.0,0.0,0.4090115657466766,,,0.35143922505269154,1
NV,0.6278723213914534,0.5955970230745538,0.6508888957098327,0.6484638220112222,0.6863406364748595,0.37788672671883305,0.7366796121716863,0.7113278576575555,0.38319513009900263,0.4014171140264847,0.36642332863194305,0.5628638933180713,0.3568409570200145,0.7566552167900693,0.33008581001715476,0.7382850158585792,0.5792356698325689,0.4050295515939907,0.6027412276172613,0.4064567518777139,0.33686262563515607,,,0.5118704176149095,2
NY,0.9092575210195619,0.897769479620681,0.8747931655102905,0.8851760303604932,1.0,0.9113121062867643,0.8953217836367809,1.0,0.9486886187750788,0.651869752792292,0.49846773285714974,0.6038229136993805,0.7270229026605246,0.693077879121517,0.6062774103388947,0.2615515045142712,0.8518549298730534,0.5399020522419342,0.9319278014118537,0.8088351036964273,0.7383371315578724,,,0.7379666281806739,5
OH,0.4916036318759872,0.488839128698774,0.48860017516131093,0.3350297276010724,0.5276931639657982,0.6202892387134363,0.715039358758367,0.7363820386965396,0.5286543813587703,0.5511828069031479,0.7685053617040375,0.42804071303130864,0.9957730131047118,0.6252677623229643,0.8230262807306304,0.8890449210936868,0.4735249021865081,0.42641253622452047,0.5396358555550718,0.562163604707394,0.7851857505791711,,,0.5818133796806003,3
OK,0.33233393679595347,0.2458349471064618,0.4019913773102477,0.33938637965798457,0.5094110456507285,0.33504299026949524,0.69370686261835,0.38660557492862935,0.332138007403293,0.4783863786242166,0.3879855853232982,0.26408875945439436,0.04278194312818706,0.4815987458846867,0.5262249676681945,0.9380624283112056,0.6792648214613494,0.21631136210524715,0.3650256469317501,0.2718830197558857,0.5531480228413143,,,0.3991460365104942,1
